region	utbildningsnivå	år	Befolkning 16-95+ år
13 Hallands län	eftergymnasial utbildning, 3 år eller mer	2019	49931
13 Hallands län	forskarutbildning	2019	1822
13 Hallands län	uppgift om utbildningsnivå saknas	2019	4966
14 Västra Götalands län	förgymnasial utbildning kortare än 9 år	2019	103657
14 Västra Götalands län	förgymnasial utbildning, 9 (10) år	2019	176117
14 Västra Götalands län	gymnasial utbildning, högst 2 år	2019	270519
14 Västra Götalands län	gymnasial utbildning, 3 år	2019	310950
14 Västra Götalands län	eftergymnasial utbildning, mindre än 3 år	2019	195951
14 Västra Götalands län	eftergymnasial utbildning, 3 år eller mer	2019	293998
14 Västra Götalands län	forskarutbildning	2019	15413
14 Västra Götalands län	uppgift om utbildningsnivå saknas	2019	35252
17 Värmlands län	förgymnasial utbildning kortare än 9 år	2019	18810
17 Värmlands län	förgymnasial utbildning, 9 (10) år	2019	28604
17 Värmlands län	gymnasial utbildning, högst 2 år	2019	55593
17 Värmlands län	gymnasial utbildning, 3 år	2019	55146
17 Värmlands län	eftergymnasial utbildning, mindre än 3 år	2019	29781
17 Värmlands län	eftergymnasial utbildning, 3 år eller mer	2019	38497
17 Värmlands län	forskarutbildning	2019	1116
17 Värmlands län	uppgift om utbildningsnivå saknas	2019	5810
18 Örebro län	förgymnasial utbildning kortare än 9 år	2019	20783
18 Örebro län	förgymnasial utbildning, 9 (10) år	2019	31924
18 Örebro län	gymnasial utbildning, högst 2 år	2019	54725
18 Örebro län	gymnasial utbildning, 3 år	2019	58076
18 Örebro län	eftergymnasial utbildning, mindre än 3 år	2019	33292
18 Örebro län	eftergymnasial utbildning, 3 år eller mer	2019	42376
18 Örebro län	forskarutbildning	2019	1485
18 Örebro län	uppgift om utbildningsnivå saknas	2019	5020
19 Västmanlands län	förgymnasial utbildning kortare än 9 år	2019	17509
19 Västmanlands län	förgymnasial utbildning, 9 (10) år	2019	30772
19 Västmanlands län	gymnasial utbildning, högst 2 år	2019	50253
19 Västmanlands län	gymnasial utbildning, 3 år	2019	52080
19 Västmanlands län	eftergymnasial utbildning, mindre än 3 år	2019	28939
19 Västmanlands län	eftergymnasial utbildning, 3 år eller mer	2019	38361
19 Västmanlands län	forskarutbildning	2019	1291
19 Västmanlands län	uppgift om utbildningsnivå saknas	2019	5036
20 Dalarnas län	förgymnasial utbildning kortare än 9 år	2019	21425
20 Dalarnas län	förgymnasial utbildning, 9 (10) år	2019	31081
20 Dalarnas län	gymnasial utbildning, högst 2 år	2019	58381
20 Dalarnas län	gymnasial utbildning, 3 år	2019	55983
20 Dalarnas län	eftergymnasial utbildning, mindre än 3 år	2019	27883
20 Dalarnas län	eftergymnasial utbildning, 3 år eller mer	2019	35369
20 Dalarnas län	forskarutbildning	2019	983
20 Dalarnas län	uppgift om utbildningsnivå saknas	2019	4565
21 Gävleborgs län	förgymnasial utbildning kortare än 9 år	2019	22230
21 Gävleborgs län	förgymnasial utbildning, 9 (10) år	2019	33484
21 Gävleborgs län	gymnasial utbildning, högst 2 år	2019	58312
